group,age,sample_id,n_roi_noncell_voxels,n_roi_noncell_nonzero,mean_AT8,std_AT8,median_AT8,AT8_positive_ratio_2std,AT8_positive_ratio_mean,AT8_positive_ratio_1std,total_cells,AT8_positive_cells_2std,AT8_positive_cells_mean,AT8_positive_cells_1std
PS19,9 Months,46,16013667,16013667,198.78139610371565,132.57573369546228,179.0,0.04819277108433735,0.5140562248995983,0.0963855421686747,249,12,128,24
PS19,9 Months,46,9971543,9971543,207.53208415187098,128.99616070830018,183.0,0.046153846153846156,0.5487179487179488,0.13333333333333333,195,9,107,26
PS19,9 Months,46,11181687,11181687,223.71224082734565,154.00439150620852,194.0,0.07386363636363637,0.6761363636363636,0.1590909090909091,176,13,119,28
PS19,9 Months,164,8521324,8521324,279.8320325573819,144.36758022261438,257.0,0.02909090909090909,0.6654545454545454,0.08363636363636363,275,8,183,23
PS19,9 Months,164,13399453,13399453,256.1774966485572,131.82920169185581,231.0,0.05660377358490566,0.6339622641509434,0.15471698113207547,265,15,168,41
PS19,9 Months,164,6933899,6933899,277.20201520097135,118.12920953937817,260.0,0.03211009174311927,0.7110091743119266,0.0963302752293578,218,7,155,21
PS19,9 Months,164,14693927,14693927,237.7150398256368,82.85167047128265,225.0,0.021686746987951807,0.6746987951807228,0.05542168674698795,415,9,280,23
PS19,9 Months,164,42548267,42548267,207.47460866032452,89.38722242222389,199.0,0.017496635262449527,0.6177658142664872,0.04306864064602961,743,13,459,32
PS19,9 Months,139,12813130,12813130,198.28152184516975,73.22299492572749,187.0,0.08053691275167785,0.8187919463087249,0.24161073825503357,149,12,122,36
PS19,9 Months,139,8541483,8541483,315.8808579259597,248.54513198338338,272.0,0.03,0.785,0.04,200,6,157,8
PS19,9 Months,139,17144047,17144047,246.80348974778244,130.33896488537303,225.0,0.059322033898305086,0.8983050847457628,0.11864406779661017,236,14,212,28
PS19,9 Months,139,15287314,15287314,233.619100844007,99.20994927423065,213.0,0.08865248226950355,0.8297872340425532,0.24468085106382978,282,25,234,69
PS19,9 Months,139,24775409,24775409,229.6648702751991,98.76608850386044,211.0,0.09152542372881356,0.7016949152542373,0.29491525423728815,295,27,207,87
PS19,9 Months,169,11576452,11576452,213.40036247720803,127.01096454028146,188.0,0.039711191335740074,0.4223826714801444,0.07942238267148015,277,11,117,22
PS19,9 Months,169,11222262,11222262,247.28733538746468,140.9378209567347,223.0,0.020066889632107024,0.5652173913043478,0.07023411371237458,299,6,169,21
PS19,9 Months,169,12394187,12394187,218.3568982782009,100.31144949539919,200.0,0.02962962962962963,0.5407407407407407,0.08888888888888889,270,8,146,24
PS19,9 Months,169,31942393,31942393,200.7193492359824,79.510173838455,188.0,0.034722222222222224,0.4930555555555556,0.075,720,25,355,54
PS19,9 Months,169,57572706,57572706,197.92875615400118,89.18687192481443,184.0,0.024017467248908297,0.44759825327510916,0.05131004366812227,916,22,410,47
PS19,9 Months,45,69849012,69849012,151.27212158705981,78.39068696605204,140.0,0.01651376146788991,0.48990825688073397,0.03486238532110092,545,9,267,19
PS19,9 Months,45,12615298,12615298,179.458039278977,86.16425949717336,165.0,0.0273972602739726,0.6301369863013698,0.0639269406392694,219,6,138,14
PS19,9 Months,45,13104756,13104756,164.7114177478772,61.660944524108714,154.0,0.02390438247011952,0.7211155378486056,0.06772908366533864,251,6,181,17
PS19,9 Months,45,9381784,9381784,171.63656890842935,85.1893528693854,158.0,0.052941176470588235,0.6411764705882353,0.09411764705882353,170,9,109,16
PS19,9 Months,45,8846015,8846015,184.70246738220544,116.79781403622034,164.0,0.06748466257668712,0.5460122699386503,0.11042944785276074,163,11,89,18
PS19,9 Months,48,24403499,24403499,209.45812114893852,75.57938606671662,197.0,0.0913978494623656,0.7311827956989247,0.28763440860215056,372,34,272,107
PS19,9 Months,48,5587897,5587897,265.4502534674494,99.42889396092967,247.0,0.06756756756756757,0.668918918918919,0.20945945945945946,148,10,99,31
PS19,9 Months,48,25257864,25257864,209.9663802924903,88.4076999731991,200.0,0.043583535108958835,0.7191283292978208,0.13801452784503632,413,18,297,57
PS19,9 Months,48,8210126,8210126,224.96009099007736,87.52721266199289,211.0,0.08717948717948718,0.6666666666666666,0.2153846153846154,195,17,130,42
PS19,9 Months,48,22634786,22634786,190.24384542447189,64.01769904378342,180.0,0.05361930294906166,0.67828418230563,0.1769436997319035,373,20,253,66
PS19,9 Months,166,35588373,35588373,201.08557511184904,48.20570728735051,195.0,0.01364522417153996,0.6101364522417154,0.08382066276803118,513,7,313,43
PS19,9 Months,166,50932060,50932060,216.78001851878759,73.57888050313188,207.0,0.018387553041018388,0.6294200848656294,0.08486562942008487,707,13,445,60
PS19,9 Months,166,25327930,25327930,200.57747233982406,64.2837010651263,194.0,0.011928429423459244,0.7017892644135189,0.07952286282306163,503,6,353,40
PS19,9 Months,166,62625057,62625057,187.43385961309386,41.93420913565237,182.0,0.009353078721745909,0.6321122369446609,0.05845674201091192,1283,12,811,75
PS19,9 Months,166,28554067,28554067,227.99317508780797,62.72555703220154,219.0,0.013782542113323124,0.5926493108728943,0.09341500765696784,653,9,387,61
PS19,9 Months,172,3439756,3439756,225.27571984757057,101.23368610038364,205.0,0.05357142857142857,0.7232142857142857,0.16071428571428573,112,6,81,18
PS19,9 Months,172,7410435,7410435,208.87605262039273,86.9696759099987,194.0,0.033816425120772944,0.7874396135265701,0.08695652173913043,207,7,163,18
PS19,9 Months,172,3258104,3258104,248.9883054684565,112.2401431904541,232.0,0.04878048780487805,0.8536585365853658,0.1951219512195122,82,4,70,16
PS19,9 Months,172,24588304,24588304,182.9143317489486,60.890629642185566,172.0,0.02459016393442623,0.7008196721311475,0.07172131147540983,488,12,342,35
PS19,9 Months,172,12920799,12920799,196.4461012821266,77.18346683031533,182.0,0.02903225806451613,0.7322580645161291,0.07096774193548387,310,9,227,22
PS19,9 Months,38,48822232,48822232,199.99196929382498,84.68232591778663,188.0,0.00911854103343465,0.4209726443768997,0.037993920972644375,658,6,277,25
PS19,9 Months,38,48302533,48302533,170.07063993931746,69.20781553675761,161.0,0.02197802197802198,0.6967032967032967,0.08351648351648351,455,10,317,38
PS19,9 Months,38,28234636,28234636,181.78804617845967,60.11928677546837,178.0,0.02178649237472767,0.5729847494553377,0.07625272331154684,459,10,263,35
